Grundform Verb,,Präsens alanyi,,,,,,Präsens targyas,,,,,,Vergangenheit alanyi ,,,,,,Vergangenheit targyas,,,,,,Zukunft alanyi,,,,,,Zukunft targyas,,,,,
,Übersetzung,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők
cselekedni,handeln,cselekszem,cselekszel,cselekszik,cselekszünk,cselekszetek,cselekszenek,cselekszem,cselekszed,cselekszi,cselekedjük,cselekszitek,cselekszik,cselekedtem,cselekedtél,cselekedett,cselekedtünk,cselekedtetek,cselekedtek,cselekedtem,cselekedted,cselekedte,cselekedtük,cselekedtétek,cselekedték,fogok cselekedni,fogsz cselekedni,fog cselekedni,fogunk cselekedni,fogtok cselekedni,fognak cselekedni,fogom cselekedni,fogod cselekedni,fogja cselekedni,fogjuk cselekedni,fogjátok cselekedni,fogják cselekedni
elérni,erreichen,elérek,elérsz,elér,elérünk,elértek,elérnek,elérem,eléred,eléri,elérjük,eléritek,elérik,elértem,elértél,elért,elértünk,elértetek,elértek,elértem,elérted,elérte,elértük,elértétek,elérték,fogok elérni,fogsz elérni,fog elérni,fogunk elérni,fogtok elérni,fognak elérni,fogom elérni,fogod elérni,fogja elérni,fogjuk elérni,fogjátok elérni,fogják elérni
viszni,tragen,viszek,viszel,visz,viszünk,visztek,visznek,viszem,viszed,viszi,visszük,viszitek,viszik,vittem,vittél,vitt,vittünk,vittetek,vittek,vittem,vitted,vitte,vittük,vittétek,vitték,fogok vinni,fogsz vinni,fog vinni,fogunk vinni,fogtok vinni,fognak vinni,fogom vinni,fogod vinni,fogja vinni,fogjuk vinni,fogjátok vinni,fogják vinni
működni,funktionieren,működöm,működsz,működik,működünk,működtök,működnek,működtem,működtél,működött,működtünk,működtetek,működtek,működnék,működnél,működne,működnénk,működnétek,működnének,működtem volna,működtél volna,működött volna,működtünk volna,működtetek volna,működtek volna,,,,,,,,,,,,
olvasni,lesen,olvasok,olvasol,olvas,olvasunk,olvastok,olvasnak,olvasom,olvasod,olvassa,olvassuk,olvassátok,olvassák,olvastam,olvastál,olvasott,olvastunk,olvastatok,olvastak,olvastam,olvastad,olvasta,olvastuk,olvastátok,olvasták,fogok olvasni,fogsz olvasni,fog olvasni,fogunk olvasni,fogtok olvasni,fognak olvasni,fogom olvasni,fogod olvasni,fogja olvasni,fogjuk olvasni,fogjátok olvasni,fogják olvasni
elveszíteni,verlieren,elveszítek,elveszítesz,elveszít,elveszítünk,elveszítetek,elveszítenek,elveszítem,elveszíted,elveszíti,elveszítjük,elveszítitek,elveszítik,elveszítettem,elveszítettél,elveszített,elveszítettünk,elveszítettetek,elveszítettek,elveszítettem,elveszítetted,elveszítette,elveszítettük,elveszítettétek,elveszítették,fogok elveszíteni,fogsz elveszíteni,fog elveszíteni,fogunk elveszíteni,fogtok elveszíteni,fognak elveszíteni,fogom elveszíteni,fogod elveszíteni,fogja elveszíteni,fogjuk elveszíteni,fogjátok elveszíteni,fogják elveszíteni
dobni,werfen,dobok,dobsz,dob,dobunk,dobtok,dobnak,dobom,dobod,dobja,dobjuk,dobjátok,dobják,dobtam,dobtál,dobott,dobtunk,dobtatok,dobtak,dobtam,dobtad,dobta,dobtuk,dobtátok,dobták,fogok dobni,fogsz dobni,fog dobni,fogunk dobni,fogtok dobni,fognak dobni,fogom dobni,fogod dobni,fogja dobni,fogjuk dobni,fogjátok dobni,fogják dobni
felismerni,erkennen,felismerek,felismersz,felismer,felismerünk,felismertek,felismernek,felismerem,felismered,felismeri,felismerjük,felismeritek,felismerik,felismertem,felismertél,felismert,felismertünk,felismertetek,felismertek,felismertem,felismerted,felismerte,felismertük,felismertétek,felismerték,fogok felismerni,fogsz felismerni,fog felismerni,fogunk felismerni,fogtok felismerni,fognak felismerni,fogom felismerni,fogod felismerni,fogja felismerni,fogjuk felismerni,fogjátok felismerni,fogják felismerni
kérni,bitten,kérek,kérsz,kér,kérünk,kértek,kérnek,kérem,kéred,kéri,kérjük,kéritek,kérik,kértem,kértél,kért,kértünk,kértetek,kértek,kértem,kérted,kérte,kértük,kértétek,kérték,fogok kérni,fogsz kérni,fog kérni,fogunk kérni,fogtok kérni,fognak kérni,fogom kérni,fogod kérni,fogja kérni,fogjuk kérni,fogjátok kérni,fogják kérni
kinézni,aussehen,kinézek,kinézel,kinéz,kinézünk,kinéztek,kinéznek,kinézem,kinézed,kinézi,kinézzük,kinézitek,kinézik,kinéztem,kinéztél,kinézett,kinéztünk,kinéztetek,kinéztek,kinéztem,kinézted,kinézte,kinéztük,kinéztétek,kinézték,fogok kinézni,fogsz kinézni,fog kinézni,fogunk kinézni,fogtok kinézni,fognak kinézni,fogom kinézni,fogod kinézni,fogja kinézni,fogjuk kinézni,fogjátok kinézni,fogják kinézni
megjelenni,erscheinen,megjelenek,megjelensz,megjelenik,megjelenünk,megjelentek,megjelennek,megjelentem,megjelentél,megjelent,megjelentünk,megjelentetek,megjelentek,megjelennék,megjelennél,megjelenne,megjelennénk,megjelennétek,megjelennének,megjelentem volna,megjelentél volna,megjelent volna,megjelentünk volna,megjelentetek volna,megjelentek volna,,,,,,,,,,,,
készíteni,herstellen,készítek,készítesz,készít,készítünk,készítetek,készítenek,készítem,készíted,készíti,készítjük,készítitek,készítik,készítettem,készítettél,készített,készítettünk,készítettetek,készítettek,készítettem,készítetted,készítette,készítettük,készítettétek,készítették,fogok készíteni,fogsz készíteni,fog készíteni,fogunk készíteni,fogtok készíteni,fognak készíteni,fogom készíteni,fogod készíteni,fogja készíteni,fogjuk készíteni,fogjátok készíteni,fogják készíteni
elkezdeni,anfangen,elkezdek,elkezdesz,elkezd,elkezdünk,elkezdetek,elkezdenek,elkezdem,elkezded,elkezdi,elkezdjük,elkezditek,elkezdik,elkezdtem,elkezdtél,elkezdett,elkezdtünk,elkezdtetek,elkezdtek,elkezdtem,elkezdted,elkezdte,elkezdtük,elkezdtétek,elkezdték,fogok elkezdeni,fogsz elkezdeni,fog elkezdeni,fogunk elkezdeni,fogtok elkezdeni,fognak elkezdeni,fogom elkezdeni,fogod elkezdeni,fogja elkezdeni,fogjuk elkezdeni,fogjátok elkezdeni,fogják elkezdeni
várni,warten,várok,vársz,vár,várunk,vártok,várnak,várom,várod,várja,várjuk,várjátok,várják,vártam,vártál,várt,vártunk,vártatok,vártak,vártam,vártad,várta,vártuk,vártátok,várták,fogok várni,fogsz várni,fog várni,fogunk várni,fogtok várni,fognak várni,fogom várni,fogod várni,fogja várni,fogjuk várni,fogjátok várni,fogják várni
lakni,wohnen,lakom,laksz,lakik,lakunk,laktok,laknak,lakom,lakod,lakja,lakjuk,lakjátok,lakják,laktam,laktál,lakott,laktunk,laktatok,laktak,laktam,laktad,lakta,laktuk,laktátok,lakták,fogok lakni,fogsz lakni,fog lakni,fogunk lakni,fogtok lakni,fognak lakni,fogom lakni,fogod lakni,fogja lakni,fogjuk lakni,fogjátok lakni,fogják lakni
illetni,betreffen,illetek,illetsz,illet,illetünk,illettek,illetnek,illetem,illeted,illeti,illetjük,illetitek,illetik,illettem,illettél,illetett,illettünk,illettetek,illettek,illettem,illetted,illette,illettük,illettétek,illették,fogok illetni,fogsz illetni,fog illetni,fogunk illetni,fogtok illetni,fognak illetni,fogom illetni,fogod illetni,fogja illetni,fogjuk illetni,fogjátok illetni,fogják illetni
lopni,stehlen,lopok,lopsz,lop,lopunk,loptok,lopnak,lopom,lopod,lopja,lopjuk,lopjátok,lopják,loptam,loptál,lopott,loptunk,loptatok,loptak,loptam,loptad,lopta,loptuk,loptátok,lopták,fogok lopni,fogsz lopni,fog lopni,fogunk lopni,fogtok lopni,fognak lopni,fogom lopni,fogod lopni,fogja lopni,fogjuk lopni,fogjátok lopni,fogják lopni
segíteni,helfen,segítek,segítesz,segít,segítünk,segítetek,segítenek,segítem,segíted,segíti,segítjük,segítitek,segítik,segítettem,segítettél,segített,segítettünk,segítettetek,segítettek,segítettem,segítetted,segítette,segítettük,segítettétek,segítették,fogok segíteni,fogsz segíteni,fog segíteni,fogunk segíteni,fogtok segíteni,fognak segíteni,fogom segíteni,fogod segíteni,fogja segíteni,fogjuk segíteni,fogjátok segíteni,fogják segíteni
nyerni,gewinnen,nyerek,nyersz,nyer,nyerünk,nyertek,nyernek,nyerem,nyered,nyeri,nyerjük,nyeritek,nyerik,nyertem,nyertél,nyert,nyertünk,nyertetek,nyertek,nyertem,nyerted,nyerte,nyertük,nyertétek,nyerték,fogok nyerni,fogsz nyerni,fog nyerni,fogunk nyerni,fogtok nyerni,fognak nyerni,fogom nyerni,fogod nyerni,fogja nyerni,fogjuk nyerni,fogjátok nyerni,fogják nyerni
zárni,schließen,zárok,zársz,zár,zárunk,zártok,zárnak,zárom,zárod,zárja,zárjuk,zárjátok,zárják,zártam,zártál,zárt,zártunk,zártatok,zártak,zártam,zártad,zárta,zártuk,zártátok,zárták,fogok zárni,fogsz zárni,fog zárni,fogunk zárni,fogtok zárni,fognak zárni,fogom zárni,fogod zárni,fogja zárni,fogjuk zárni,fogjátok zárni,fogják zárni
érezni,fühlen,érzek,érzel,érez,érzünk,éreztek,éreznek,érzem,érzed,érzi,érezzük,érzitek,érzik,éreztem,éreztél,érzett,éreztünk,éreztetek,éreztek,éreztem,érezted,érezte,éreztük,éreztétek,érezték,fogok érezni,fogsz érezni,fog érezni,fogunk érezni,fogtok érezni,fognak érezni,fogom érezni,fogod érezni,fogja érezni,fogjuk érezni,fogjátok érezni,fogják érezni
kínálni,anbieten,kínálok,kínálsz,kínál,kínálunk,kínáltok,kínálnak,kínálom,kínálod,kínálja,kínáljuk,kínáljátok,kínálják,kínáltam,kínáltál,kínált,kínáltunk,kínáltatok,kínáltak,kínáltam,kínáltad,kínálta,kínáltuk,kínáltátok,kínálták,fogok kínálni,fogsz kínálni,fog kínálni,fogunk kínálni,fogtok kínálni,fognak kínálni,fogom kínálni,fogod kínálni,fogja kínálni,fogjuk kínálni,fogjátok kínálni,fogják kínálni
érdekelni,interessieren,érdeklek,érdekelsz,érdekel,érdeklünk,érdekeltek,érdekelnek,érdeklem,érdekled,érdekli,érdekeljük,érdeklitek,érdeklik,érdekeltem,érdekeltél,érdekelt,érdekeltünk,érdekeltetek,érdekeltek,érdekeltem,érdekelted,érdekelte,érdekeltük,érdekeltétek,érdekelték,fogok érdekelni,fogsz érdekelni,fog érdekelni,fogunk érdekelni,fogtok érdekelni,fognak érdekelni,fogom érdekelni,fogod érdekelni,fogja érdekelni,fogjuk érdekelni,fogjátok érdekelni,fogják érdekelni
válaszolni,antworten,válaszolok,válaszolsz,válaszol,válaszolunk,válaszoltok,válaszolnak,válaszolom,válaszolod,válaszolja,válaszoljuk,válaszoljátok,válaszolják,válaszoltam,válaszoltál,válaszolt,válaszoltunk,válaszoltatok,válaszoltak,válaszoltam,válaszoltad,válaszolta,válaszoltuk,válaszoltátok,válaszolták,fogok válaszolni,fogsz válaszolni,fog válaszolni,fogunk válaszolni,fogtok válaszolni,fognak válaszolni,fogom válaszolni,fogod válaszolni,fogja válaszolni,fogjuk válaszolni,fogjátok válaszolni,fogják válaszolni
felelni,antworten,felelek,felelsz,felel,felelünk,feleltek,felelnek,felelem,feleled,feleli,feleljük,felelitek,felelik,feleltem,feleltél,felelt,feleltünk,feleltetek,feleltek,feleltem,felelted,felelte,feleltük,feleltétek,felelték,fogok felelni,fogsz felelni,fog felelni,fogunk felelni,fogtok felelni,fognak felelni,fogom felelni,fogod felelni,fogja felelni,fogjuk felelni,fogjátok felelni,fogják felelni
emlékezni,erinnern sich,emlékszem,emlékszel,emlékszik,emlékszünk,emlékszetek,emlékszenek,emlékeztem,emlékeztél,emlékezett,emlékeztünk,emlékeztetek,emlékeztek,emlékeznék,emlékeznél,emlékezne,emlékeznénk,emlékeznétek,emlékeznének,emlékeztem volna,emlékeztél volna,emlékezett volna,emlékeztünk volna,emlékeztetek volna,emlékeztek volna,,,,,,,,,,,,
emlékeztetni,erinnern jmd.,emlékeztetek,emlékeztetsz,emlékeztet,emlékeztetünk,emlékeztettek,emlékeztetnek,emlékeztetem,emlékezteted,emlékezteti,emlékeztetjük,emlékeztetitek,emlékeztetik,emlékeztettem,emlékeztettél,emlékeztetett,emlékeztettünk,emlékeztettetek,emlékeztettek,emlékeztettem,emlékeztetted,emlékeztette,emlékeztettük,emlékeztettétek,emlékeztették,fogok emlékeztetni,fogsz emlékeztetni,fog emlékeztetni,fogunk emlékeztetni,fogtok emlékeztetni,fognak emlékeztetni,fogom emlékeztetni,fogod emlékeztetni,fogja emlékeztetni,fogjuk emlékeztetni,fogjátok emlékeztetni,fogják emlékeztetni
tanulni,studieren,tanulok,tanulsz,tanul,tanulunk,tanultok,tanulnak,tanulom,tanulod,tanulja,tanuljuk,tanuljátok,tanulják,tanultam,tanultál,tanult,tanultunk,tanultatok,tanultak,tanultam,tanultad,tanulta,tanultuk,tanultátok,tanulták,fogok tanulni,fogsz tanulni,fog tanulni,fogunk tanulni,fogtok tanulni,fognak tanulni,fogom tanulni,fogod tanulni,fogja tanulni,fogjuk tanulni,fogjátok tanulni,fogják tanulni
kapcsolni,verbinden,kapcsolok,kapcsolsz,kapcsol,kapcsolunk,kapcsoltok,kapcsolnak,kapcsolom,kapcsolod,kapcsolja,kapcsoljuk,kapcsoljátok,kapcsolják,kapcsoltam,kapcsoltál,kapcsolt,kapcsoltunk,kapcsoltatok,kapcsoltak,kapcsoltam,kapcsoltad,kapcsolta,kapcsoltuk,kapcsoltátok,kapcsolták,fogok kapcsolni,fogsz kapcsolni,fog kapcsolni,fogunk kapcsolni,fogtok kapcsolni,fognak kapcsolni,fogom kapcsolni,fogod kapcsolni,fogja kapcsolni,fogjuk kapcsolni,fogjátok kapcsolni,fogják kapcsolni
nézni,anschauen,nézek,nézel,néz,nézünk,néztek,néznek,nézem,nézed,nézi,nézzük,nézitek,nézik,néztem,néztél,nézett,néztünk,néztetek,néztek,néztem,nézted,nézte,néztük,néztétek,nézték,fogok nézni,fogsz nézni,fog nézni,fogunk nézni,fogtok nézni,fognak nézni,fogom nézni,fogod nézni,fogja nézni,fogjuk nézni,fogjátok nézni,fogják nézni
hiányozni,fehlen,hiányzom,hiányzol,hiányzik,hiányzunk,hiányoztok,hiányoznak,hiányoztam,hiányoztál,hiányzott,hiányoztunk,hiányoztatok,hiányoztak,hiányoznék,hiányoznál,hiányozna,hiányoznánk,hiányoznátok,hiányoznának,hiányoztam volna,hiányoztál volna,hiányzott volna,hiányoztunk volna,hiányoztatok volna,hiányoztak volna,,,,,,,,,,,,
dohányozni,rauchen,dohányzom,dohányzol,dohányzik,dohányzunk,dohányoztok,dohányoznak,dohányoztam,dohányoztál,dohányzott,dohányoztunk,dohányoztatok,dohányoztak,dohányoznék,dohányoznál,dohányozna,dohányoznánk,dohányoznátok,dohányoznának,dohányoztam volna,dohányoztál volna,dohányzott volna,dohányoztunk volna,dohányoztatok volna,dohányoztak volna,,,,,,,,,,,,
főzni,kochen,főzök,főzöl,főz,főzünk,főztök,főznek,főzöm,főzöd,főzi,főzzük,főzitek,főzik,főztem,főztél,főzött,főztünk,főztetek,főztek,főztem,főzted,főzte,főztük,főztétek,főzték,fogok főzni,fogsz főzni,fog főzni,fogunk főzni,fogtok főzni,fognak főzni,fogom főzni,fogod főzni,fogja főzni,fogjuk főzni,fogjátok főzni,fogják főzni
jelenteni,bedeuten,jelentek,jelentesz,jelent,jelentünk,jelentetek,jelentenek,jelentem,jelented,jelenti,jelentjük,jelentitek,jelentik,jelentettem,jelentettél,jelentett,jelentettünk,jelentettetek,jelentettek,jelentettem,jelentetted,jelentette,jelentettük,jelentettétek,jelentették,fogok jelenteni,fogsz jelenteni,fog jelenteni,fogunk jelenteni,fogtok jelenteni,fognak jelenteni,fogom jelenteni,fogod jelenteni,fogja jelenteni,fogjuk jelenteni,fogjátok jelenteni,fogják jelenteni
összehasonlítani,vergleichen,összehasonlítok,összehasonlítasz,összehasonlít,összehasonlítunk,összehasonlítotok,összehasonlítanak,összehasonlítom,összehasonlítod,összehasonlítja,összehasonlítjuk,összehasonlítjátok,összehasonlítják,összehasonlítottam,összehasonlítottál,összehasonlított,összehasonlítottunk,összehasonlítottatok,összehasonlítottak,összehasonlítottam,összehasonlítottad,összehasonlította,összehasonlítottuk,összehasonlítottátok,összehasonlították,fogok összehasonlítani,fogsz összehasonlítani,fog összehasonlítani,fogunk összehasonlítani,fogtok összehasonlítani,fognak összehasonlítani,fogom összehasonlítani,fogod összehasonlítani,fogja összehasonlítani,fogjuk összehasonlítani,fogjátok összehasonlítani,fogják összehasonlítani
inni,trinken,iszom,iszol,iszik,iszunk,isztok,isznak,iszom,iszod,issza,isszuk,isszátok,isszák,ittam,ittál,ivott,ittunk,ittatok,ittak,ittam,ittad,itta,ittuk,ittátok,itták,fogok inni,fogsz inni,fog inni,fogunk inni,fogtok inni,fognak inni,fogom inni,fogod inni,fogja inni,fogjuk inni,fogjátok inni,fogják inni
szeretni,lieben,szeretek,szeretsz,szeret,szeretünk,szerettek,szeretnek,szeretem,szereted,szereti,szeretjük,szeretitek,szeretik,szerettem,szerettél,szeretett,szerettünk,szerettetek,szerettek,szerettem,szeretted,szerette,szerettük,szerettétek,szerették,fogok szeretni,fogsz szeretni,fog szeretni,fogunk szeretni,fogtok szeretni,fognak szeretni,fogom szeretni,fogod szeretni,fogja szeretni,fogjuk szeretni,fogjátok szeretni,fogják szeretni
gyűlölni,hassen,gyűlölök,gyűlölsz,gyűlöl,gyűlölünk,gyűlöltök,gyűlölnek,gyűlölöm,gyűlölöd,gyűlöli,gyűlöljük,gyűlölitek,gyűlölik,gyűlöltem,gyűlöltél,gyűlölt,gyűlöltünk,gyűlöltetek,gyűlöltek,gyűlöltem,gyűlölted,gyűlölte,gyűlöltük,gyűlöltétek,gyűlölték,fogok gyűlölni,fogsz gyűlölni,fog gyűlölni,fogunk gyűlölni,fogtok gyűlölni,fognak gyűlölni,fogom gyűlölni,fogod gyűlölni,fogja gyűlölni,fogjuk gyűlölni,fogjátok gyűlölni,fogják gyűlölni
hallani,hören ,hallok,hallasz,hall,hallunk,hallotok,hallanak,hallom,hallod,hallja,halljuk,halljátok,hallják,hallottam,hallottál,hallott,hallottunk,hallottatok,hallottak,hallottam,hallottad,hallotta,hallottuk,hallottátok,hallották,fogok hallani,fogsz hallani,fog hallani,fogunk hallani,fogtok hallani,fognak hallani,fogom hallani,fogod hallani,fogja hallani,fogjuk hallani,fogjátok hallani,fogják hallani
hallgatni,zuhören,hallgatok,hallgatsz,hallgat,hallgatunk,hallgattok,hallgatnak,hallgatom,hallgatod,hallgatja,hallgatjuk,hallgatjátok,hallgatják,hallgattam,hallgattál,hallgatott,hallgattunk,hallgattatok,hallgattak,hallgattam,hallgattad,hallgatta,hallgattuk,hallgattátok,hallgatták,fogok hallgatni,fogsz hallgatni,fog hallgatni,fogunk hallgatni,fogtok hallgatni,fognak hallgatni,fogom hallgatni,fogod hallgatni,fogja hallgatni,fogjuk hallgatni,fogjátok hallgatni,fogják hallgatni
táncolni,tanzen,táncolok,táncolsz,táncol,táncolunk,táncoltok,táncolnak,táncolom,táncolod,táncolja,táncoljuk,táncoljátok,táncolják,táncoltam,táncoltál,táncolt,táncoltunk,táncoltatok,táncoltak,táncoltam,táncoltad,táncolta,táncoltuk,táncoltátok,táncolták,fogok táncolni,fogsz táncolni,fog táncolni,fogunk táncolni,fogtok táncolni,fognak táncolni,fogom táncolni,fogod táncolni,fogja táncolni,fogjuk táncolni,fogjátok táncolni,fogják táncolni
énekelni,singen,éneklek,énekelsz,énekel,éneklünk,énekeltek,énekelnek,éneklem,énekled,énekli,énekeljük,éneklitek,éneklik,énekeltem,énekeltél,énekelt,énekeltünk,énekeltetek,énekeltek,énekeltem,énekelted,énekelte,énekeltük,énekeltétek,énekelték,fogok énekelni,fogsz énekelni,fog énekelni,fogunk énekelni,fogtok énekelni,fognak énekelni,fogom énekelni,fogod énekelni,fogja énekelni,fogjuk énekelni,fogjátok énekelni,fogják énekelni
ugrani,springen,ugrok,ugrasz,ugrik,ugrunk,ugrotok,ugranak,ugrom,ugrod,ugorja,ugorjuk,ugorjátok,ugorják,ugrottam,ugrottál,ugrott,ugrottunk,ugrottatok,ugrottak,ugrottam,ugrottad,ugrotta,ugrottuk,ugrottátok,ugrották,fogok ugrani,fogsz ugrani,fog ugrani,fogunk ugrani,fogtok ugrani,fognak ugrani,fogom ugrani,fogod ugrani,fogja ugrani,fogjuk ugrani,fogjátok ugrani,fogják ugrani
villogni,blinken,villogok,villogsz,villog,villogunk,villogtok,villognak,villogtam,villogtál,villogott,villogtunk,villogtatok,villogtak,villognék,villognál,villogna,villognánk,villognátok,villognának,villogtam volna,villogtál volna,villogott volna,villogtunk volna,villogtatok volna,villogtak volna,,,,,,,,,,,,
tankolni,tanken,tankolok,tankolsz,tankol,tankolunk,tankoltok,tankolnak,tankolom,tankolod,tankolja,tankoljuk,tankoljátok,tankolják,tankoltam,tankoltál,tankolt,tankoltunk,tankoltatok,tankoltak,tankoltam,tankoltad,tankolta,tankoltuk,tankoltátok,tankolták,fogok tankolni,fogsz tankolni,fog tankolni,fogunk tankolni,fogtok tankolni,fognak tankolni,fogom tankolni,fogod tankolni,fogja tankolni,fogjuk tankolni,fogjátok tankolni,fogják tankolni
esni,regnen,esem,esel,esik,esünk,estek,esnek,estem,estél,esett,estünk,estetek,estek,esnék,esnél,esne,esnénk,esnétek,esnének,estem volna,estél volna,esett volna,estünk volna,estetek volna,estek volna,,,,,,,,,,,,
havazni,schneien,havazom,havazol,havazik,havazunk,havaztok,havaznak,havaztam,havaztál,havazott,havaztunk,havaztatok,havaztak,havaznék,havaznál,havazna,havaznánk,havaznátok,havaznának,havaztam volna,havaztál volna,havazott volna,havaztunk volna,havaztatok volna,havaztak volna,,,,,,,,,,,,
örülni,freuen,örülök,örülsz,örül,örülünk,örültök,örülnek,örültem,örültél,örült,örültünk,örültetek,örültek,örülnék,örülnél,örülne,örülnénk,örülnétek,örülnének,örültem volna,örültél volna,örült volna,örültünk volna,örültetek volna,örültek volna,,,,,,,,,,,,
megköszönni,danke,megköszönök,megköszönsz,megköszön,megköszönünk,megköszöntök,megköszönnek,megköszönöm,megköszönöd,megköszöni,megköszönjük,megköszönitek,megköszönik,megköszöntem,megköszöntél,megköszönt,megköszöntünk,megköszöntetek,megköszöntek,megköszöntem,megköszönted,megköszönte,megköszöntük,megköszöntétek,megköszönték,fogok megköszönni,fogsz megköszönni,fog megköszönni,fogunk megköszönni,fogtok megköszönni,fognak megköszönni,fogom megköszönni,fogod megköszönni,fogja megköszönni,fogjuk megköszönni,fogjátok megköszönni,fogják megköszönni
meghalni,sterben,meghalok,meghalsz,meghal,meghalunk,meghaltok,meghalnak,meghaltam,meghaltál,meghalt,meghaltunk,meghaltatok,meghaltak,meghalnék,meghalnál,meghalna,meghalnánk,meghalnátok,meghalnának,meghaltam volna,meghaltál volna,meghalt volna,meghaltunk volna,meghaltatok volna,meghaltak volna,,,,,,,,,,,,
nevetni,lachen,nevetek,nevetsz,nevet,nevetünk,nevettek,nevetnek,nevetem,neveted,neveti,nevetjük,nevetitek,nevetik,nevettem,nevettél,nevetett,nevettünk,nevettetek,nevettek,nevettem,nevetted,nevette,nevettük,nevettétek,nevették,fogok nevetni,fogsz nevetni,fog nevetni,fogunk nevetni,fogtok nevetni,fognak nevetni,fogom nevetni,fogod nevetni,fogja nevetni,fogjuk nevetni,fogjátok nevetni,fogják nevetni
sírni,weinen,sírok,sírsz,sír,sírunk,sírtok,sírnak,sírtam,sírtál,sírt,sírtunk,sírtatok,sírtak,sírnék,sírnál,sírna,sírnánk,sírnátok,sírnának,sírtam volna,sírtál volna,sírt volna,sírtunk volna,sírtatok volna,sírtak volna,,,,,,,,,,,,
hazudni,lügen,hazudok,hazudsz,hazudik,hazudunk,hazudtok,hazudnak,hazudom,hazudod,hazudja,hazudjuk,hazudjátok,hazudják,hazudtam,hazudtál,hazudott,hazudtunk,hazudtatok,hazudtak,hazudtam,hazudtad,hazudta,hazudtuk,hazudtátok,hazudták,fogok hazudni,fogsz hazudni,fog hazudni,fogunk hazudni,fogtok hazudni,fognak hazudni,fogom hazudni,fogod hazudni,fogja hazudni,fogjuk hazudni,fogjátok hazudni,fogják hazudni
kiabálni,schreien,kiabálok,kiabálsz,kiabál,kiabálunk,kiabáltok,kiabálnak,kiabálom,kiabálod,kiabálja,kiabáljuk,kiabáljátok,kiabálják,kiabáltam,kiabáltál,kiabált,kiabáltunk,kiabáltatok,kiabáltak,kiabáltam,kiabáltad,kiabálta,kiabáltuk,kiabáltátok,kiabálták,fogok kiabálni,fogsz kiabálni,fog kiabálni,fogunk kiabálni,fogtok kiabálni,fognak kiabálni,fogom kiabálni,fogod kiabálni,fogja kiabálni,fogjuk kiabálni,fogjátok kiabálni,fogják kiabálni
súgni,flüstern,súgok,súgsz,súg,súgunk,súgtok,súgnak,súgom,súgod,súgja,súgjuk,súgjátok,súgják,súgtam,súgtál,súgott,súgtunk,súgtatok,súgtak,súgtam,súgtad,súgta,súgtuk,súgtátok,súgták,fogok súgni,fogsz súgni,fog súgni,fogunk súgni,fogtok súgni,fognak súgni,fogom súgni,fogod súgni,fogja súgni,fogjuk súgni,fogjátok súgni,fogják súgni
választani,wählen,választok,választasz,választ,választunk,választotok,választanak,választom,választod,választja,választjuk,választjátok,választják,választottam,választottál,választott,választottunk,választottatok,választottak,választottam,választottad,választotta,választottuk,választottátok,választották,fogok választani,fogsz választani,fog választani,fogunk választani,fogtok választani,fognak választani,fogom választani,fogod választani,fogja választani,fogjuk választani,fogjátok választani,fogják választani
remélni,hoffen,remélek,remélsz,remél,remélünk,reméltek,remélnek,remélem,reméled,reméli,reméljük,remélitek,remélik,reméltem,reméltél,remélt,reméltünk,reméltetek,reméltek,reméltem,remélted,remélte,reméltük,reméltétek,remélték,fogok remélni,fogsz remélni,fog remélni,fogunk remélni,fogtok remélni,fognak remélni,fogom remélni,fogod remélni,fogja remélni,fogjuk remélni,fogjátok remélni,fogják remélni
megállítani,anhalten,megállítok,megállítasz,megállít,megállítunk,megállítotok,megállítanak,megállítom,megállítod,megállítja,megállítjuk,megállítjátok,megállítják,megállítottam,megállítottál,megállított,megállítottunk,megállítottatok,megállítottak,megállítottam,megállítottad,megállította,megállítottuk,megállítottátok,megállították,fogok megállítani,fogsz megállítani,fog megállítani,fogunk megállítani,fogtok megállítani,fognak megállítani,fogom megállítani,fogod megállítani,fogja megállítani,fogjuk megállítani,fogjátok megállítani,fogják megállítani
értesíteni,mitteilen,értesítek,értesítesz,értesít,értesítünk,értesítetek,értesítenek,értesítem,értesíted,értesíti,értesítjük,értesítitek,értesítik,értesítettem,értesítettél,értesített,értesítettünk,értesítettetek,értesítettek,értesítettem,értesítetted,értesítette,értesítettük,értesítettétek,értesítették,fogok értesíteni,fogsz értesíteni,fog értesíteni,fogunk értesíteni,fogtok értesíteni,fognak értesíteni,fogom értesíteni,fogod értesíteni,fogja értesíteni,fogjuk értesíteni,fogjátok értesíteni,fogják értesíteni
beszámolni,berichten,beszámolok,beszámolsz,beszámol,beszámolunk,beszámoltok,beszámolnak,beszámoltam,beszámoltál,beszámolt,beszámoltunk,beszámoltatok,beszámoltak,beszámolnék,beszámolnál,beszámolna,beszámolnánk,beszámolnátok,beszámolnának,beszámoltam volna,beszámoltál volna,beszámolt volna,beszámoltunk volna,beszámoltatok volna,beszámoltak volna,,,,,,,,,,,,
